,FP_1,FP_2,FP_3,FP_4,FS_1,FS_2,FS_3,N_1,N_2,N_3
P01011,287802.9464,84229.36217,107536.6462,233138.5597,87372.01815,23114.75783,87008.1749,12317.98858,52603.78145,20133.54648
P01019,61647.2548,18916.56582,25012.54693,44183.06772,21580.31216,5615.470163,9031.666305,4482.515283,10876.92428,2676.602923
P01024,1831139.775,885853.323,1098273.305,2476709.837,470466.801,173010.9807,738522.5495,131301.6302,245974.8816,194878.4908
P01031,223455.1473,208598.672,126773.1646,168927.1651,91917.9036,25087.57383,37429.11244,11093.259,46205.41751,16524.39684
P01034,2882.0915,1358.750606,1322.483185,1849.862953,1696.394715,169.3532095,1290.519385,415.4478255,1073.601012,251.1629423
P01042,112281.7514,53496.0976,56831.45963,151346.1147,26477.23824,6768.250917,47879.02072,5649.584595,12995.05286,10831.12212
P01597,12951.63873,7302.12941,15594.90564,11988.71139,3232.441678,998.6635537,4484.68515,847.1766518,2146.484388,1088.581802
P01617,16786.00674,15281.05976,26750.53828,24405.04407,8872.95863,943.8779702,4142.637735,1065.595364,2799.326544,1762.067693
P01621,19641.03734,16580.07147,25087.12493,70641.50765,6261.189325,1818.676705,10890.04915,2323.735799,4315.270677,2605.289207
P01625,43499.17669,20275.92348,52261.5967,84107.1517,9986.47212,2587.606217,13021.03506,2458.62447,8004.211225,3848.956493
P01714,25182.6208,11486.05513,12360.43846,63060.50225,7982.464495,1497.624768,4667.648306,705.7755803,2384.294051,1685.143838
P01764,32553.73211,15146.60791,32403.35098,8998.604725,2265.342884,756.4678132,5017.30854,961.688935,2716.949356,1186.042307
P01767,9998.732415,5533.255697,10924.31537,15555.0539,3000.420118,335.6830215,3760.97021,441.9846965,1127.324305,1155.122767
P01781,32956.196,12669.0965,24244.5401,51024.05135,10896.78015,2676.84798,12608.3914,1917.306333,6412.64304,2878.154527
P01834,1025180.367,354283.3217,721722.4575,2357062.019,224037.1954,52972.0358,348991.3855,56753.78958,145482.7356,101903.8526
P01857,1740872.321,1344518.495,1213330.508,4750018.383,488561.678,245405.6463,483058.7747,206896.3274,264281.9456,227948.7803
P01859,269920.9639,47296.92303,40779.2016,365824.4007,66382.41325,12609.31022,127065.8238,10809.7917,20898.39031,26941.18367
P01860,466336.4954,159878.9876,217202.8966,732731.614,134847.5469,23795.14498,93936.3525,17446.00107,40056.56989,26391.03578
P01861,112868.4898,13674.24774,17968.37885,641775.3425,27227.63279,3645.304553,38072.69536,21137.45694,11781.36574,8731.997312
P01876,423511.6811,206216.3111,437573.004,708750.602,95567.6403,12702.07356,120679.6939,25711.60603,31669.80378,24417.21193
P02042,79459.8604,46542.37387,85491.163,1411844.255,59508.62185,26018.88825,175424.652,71361.05703,95054.67755,52074.24927
P02144,182350.5727,6620.472023,3107.125008,325635.895,100033.0036,4653.737705,6959.669295,6504.124435,14765.40428,736.9513202
P02452,461391.1285,177407.6416,144150.4632,578543.8635,164141.7955,56727.96922,331857.6624,61113.69463,122253.0606,43501.7216
P02461,87729.6487,29044.02772,37407.03188,83389.7434,29196.62683,15086.06671,53738.89525,12569.33861,34744.26438,11527.36982
P02462,66184.7418,46497.40667,31724.0428,52964.61935,46435.52563,13587.74253,48413.17225,14804.47638,40689.19313,12187.93704
P02511,73306.8439,44269.91277,33522.0208,38149.22825,44018.00483,17556.07453,50237.1836,36531.5105,50969.0447,14810.76531
P02545,366600.6306,286712.9482,220464.7683,588180.299,367217.4331,105747.379,457279.6929,171858.7244,379058.717,134643.321
P02647,2185761.914,692494.4757,1982121.822,2165625.51,348837.5618,82135.1839,343221.62,109333.8808,195925.5143,118108.1763
P02652,223571.2055,45464.96037,145615.8736,156061.4352,31494.40478,7871.741947,41118.10224,8907.02225,25784.30997,9423.402577
P02656,97297.9988,15796.38357,13558.02705,27370.3956,7386.2383,1704.955728,8128.2535,1592.56031,4937.920622,3919.963128
P02730,6081.286115,4324.610013,4151.426023,81343.5264,2663.258276,1215.711351,20015.67967,8727.370495,5555.38151,3503.135753
P02743,408874.1687,197306.965,121128.0398,299800.3416,92397.87025,18828.25742,100093.9584,9327.350508,30901.41864,43711.48173
P02745,27789.158,9773.88502,10536.3111,22366.96314,7646.12597,2492.732393,6731.005995,723.4700505,1570.293057,5804.260973
P02746,124649.0373,61931.04007,57362.8147,124572.5224,67488.01025,15994.55841,41420.29267,4881.322455,14185.51805,38172.09015
P02747,77646.7741,43373.5821,44085.21345,68550.18345,37915.37187,9929.259697,31405.27662,4711.45477,11808.70949,25164.9548
P02748,368414.3616,499135.6287,215171.0909,288686.2558,202781.5958,45389.98295,61217.48115,20343.3231,115141.4774,36513.49703
P02749,203662.7186,75382.07073,78964.28165,175760.252,57148.59755,21390.29235,82268.1607,24362.3326,49293.826,31872.43625
P02750,24438.62355,17217.61606,20745.38905,37297.45543,13728.44744,2400.39852,16386.05036,1507.885571,7815.233895,3682.034207
P02751,4190988.921,1699759.168,1825225.635,3768906.274,2442808.39,627011.4265,1825404.793,580083.161,1155577.06,383851.573
P02753,20027.44652,9242.328057,12237.17036,17892.13474,4450.154518,1896.482565,10563.10197,1835.09308,5323.89808,2495.98009
P02760,158895.2197,126388.7856,98541.2648,137440.6453,76294.78685,16731.87968,88972.92355,16936.86208,39525.15165,27784.94848
P02763,132422.3546,15775.47383,38067.19873,127203.5779,12812.0324,5354.064068,58543.00765,4991.86697,5967.635465,11189.55681
P02765,202821.9417,73898.60367,112204.8307,178324.3048,69430.49525,13368.34989,100901.6885,16528.09681,29597.27264,18253.85487
P02766,84125.39825,40710.04147,85006.3538,46913.78987,16493.75178,4813.619483,27402.39151,6886.901978,21506.28273,10675.21933
P02768,39137388.85,17087526.03,27038442.8,51209266.2,14204478.42,4270058.248,14259523.45,4563320.868,11150950.61,2999947.678
P02774,183432.4927,105677.8047,113700.0514,211939.3593,48525.03155,15447.79463,66165.5822,16478.32568,29307.89995,12074.6713
P02775,3724.976744,1828.756499,2844.386653,6418.806325,4177.573292,800.358613,5294.463515,1481.834037,5267.112875,1209.321428
P02787,3978215.638,1452439.712,2055340.042,3397998.037,949981.0405,299394.8887,1398083.569,226232.4328,651392.164,299994.7678
P02790,722139.6295,331314.5388,399252.6795,815243.1425,259022.7353,107642.8922,339581.4935,89997.19538,159675.7244,85445.36015
P03950,11983.90715,8498.031397,7177.89593,7885.951805,3978.796545,1976.889725,7411.74728,1662.889593,4732.345671,2541.711575
P03973,3818.687256,2996.324669,3432.480628,3843.052027,2309.155105,427.3358953,1545.20748,300.6261645,1451.386386,712.1438788
P04040,17729.88192,10521.77905,7747.533685,90850.26345,14063.6098,4594.742188,27912.66878,7396.505033,14721.2789,5060.084977
P04075,184682.6969,131271.771,104987.0831,261978.4698,186059.2153,47281.20157,82986.7106,53509.7712,111405.725,32886.51305
P04080,10112.40493,7830.808473,8231.97681,23705.22398,8027.70169,2400.570303,7765.44849,3739.370745,6315.927865,3252.285797
P04083,172205.8005,90132.20307,86426.78725,196665.1188,133588.1434,40149.83618,150799.3375,52002.9085,100219.8126,33377.25252
P04179,5677.165175,939.0944567,6122.507583,14107.07601,1862.881155,445.4284267,3725.623313,2807.911878,2647.986431,302.7821208
P04196,70523.3825,47223.17687,46948.51655,63883.9185,17904.47362,3148.505362,24631.7243,6557.936815,5019.804665,8301.20955
P04217,116979.5276,89783.2578,124294.7278,181389.6819,42830.1214,10760.91489,52948.81545,13415.71862,28125.75198,11793.11322
P04264,21954.33427,18443.24135,8886.233905,33424.3359,11307.89575,2524.25475,10560.77957,6151.569225,6942.294795,3089.308325
P04275,20597.22758,8040.355503,3646.283063,24054.59561,13663.62254,3280.11641,8480.74706,4242.998945,13243.50193,244.6634493
P04406,547281.9,440796.5663,401445.5653,574266.454,538322.5895,174238.009,432887.0827,291975.191,548347.076,135824.4028
P04433,46904.58086,18290.26302,65670.46778,30464.36853,7474.36035,1414.088686,7081.59519,1476.553346,5634.468615,2410.209932
P04632,30170.60686,15854.30129,13962.66232,21052.27291,28405.97118,8624.879605,31157.80189,8837.392933,27322.58912,9452.173728
P04792,265375.3528,215671.5588,192320.2074,178162.7802,193506.6142,73423.89697,231506.8467,160693.8638,219905.9464,59712.65935
P04843,11735.73613,7117.179427,4939.478958,24253.80923,8362.456915,2970.573998,10908.25675,4799.72409,8957.267885,2697.260043
P04844,3428.190252,924.2328057,1941.4491,9483.90824,2489.809833,537.759847,3090.038731,1101.506379,2333.327214,426.6705112
P05091,25007.11508,15732.57515,8429.143018,41331.86021,20977.48134,6587.460577,24602.41563,7795.176855,20563.86179,5146.23308
P05141,1919.588984,1528.861424,1287.918955,3634.134971,1971.391608,650.626812,1630.499867,1014.720138,2074.658282,424.5929885
P05154,4770.570451,2950.682988,2518.67017,1852.997726,1467.019531,694.5188388,2898.561664,787.6311153,1071.860286,1149.389796
P05155,92175.3208,40897.86937,70627.86428,147681.302,40960.0611,9786.679017,32640.18851,11343.46821,25703.27236,7774.990382
P05156,28893.00001,14461.57798,18893.17727,22204.7207,8807.40994,2436.95169,7959.36872,1509.119215,4358.844029,2123.58501
P05198,3915.383042,2100.142386,1256.356672,10259.0227,3663.235461,1070.25697,3566.799162,1619.538045,3729.569757,1115.467947
P05386,6010.864605,2919.003614,3925.505975,8481.33131,3994.878366,939.4655767,4683.115477,2262.827067,3422.488034,1310.398405
P05387,12267.66934,5776.887847,5028.925475,28940.77321,11871.23451,2822.741637,13587.83951,5571.524738,9066.164465,3456.707428
P05413,27692.05601,11447.83303,5021.028365,13132.78382,20721.93644,3404.868372,13200.78867,8163.355638,11945.90666,4703.457338
P05452,54526.18435,29482.63754,26291.35545,73054.2059,45057.55551,11323.86318,34203.85905,10302.12225,22612.65576,11970.97232
P05546,73196.58865,26318.92706,27314.47548,61305.3884,17059.66905,4432.995327,15958.3111,4516.798198,10090.43264,2542.869037
P05556,101757.8558,53696.6512,44569.29048,77859.023,80790.45905,29294.07202,83707.11845,40560.76815,93012.91275,28643.71303
P05787,2195.143282,1095.557738,552.1490593,2005.752095,4609.217534,1355.363115,1672.298385,4164.18498,4193.19905,1973.150627
P06396,435975.6821,300402.3049,280708.72,511100.7815,384839.129,125156.8797,425492.1031,178442.475,360631.6791,148816.3022
P06576,112958.1125,76993.69423,64410.06843,179517.1935,108572.8808,29176.64542,108661.749,52802.45645,106942.7686,31671.0618
P06681,12751.69632,7508.618673,5355.180635,11831.24289,1835.268372,1226.876081,4859.246137,454.7890655,1811.768181,1414.782412
P06703,490552.6742,161933.5378,214530.9545,570491.5655,465943.0818,90929.17255,243222.8799,157899.6033,329607.3792,98078.56502
P06727,138491.5513,147222.0772,172310.7137,135322.8789,72142.0126,24856.89252,79565.8184,31208.2807,74716.1533,36330.54747
P06733,177605.0838,130371.0785,127539.864,209821.5929,123632.3421,37449.76057,121815.811,67460.96458,122637.2715,42006.5902
P06744,3274.845191,2260.549289,2190.683922,4819.27054,3024.549637,1051.011032,3046.68885,1518.452753,2069.027604,241.1249285
P06748,11779.90271,5462.477367,4434.341228,19804.70511,8367.613955,2340.114622,11652.72464,3758.088095,6114.36431,2574.675568
P06756,8102.600075,5758.271437,8323.028895,10688.1755,9221.78262,3463.998862,7093.57876,3701.839365,12165.20869,2890.957453
P07108,7627.1485,2573.628739,1485.770276,7650.34132,6224.23054,1354.344681,5701.765665,2670.702873,4064.061473,1428.896339
P07195,45569.65417,25353.61674,21340.70548,58701.134,41696.70354,15073.42832,39988.20919,21610.99817,42651.098,11574.44774
P07237,41412.25764,20463.48156,28003.92963,84369.4197,27341.31385,9190.613242,40460.95652,21132.42956,20132.98612,12540.01751
P07305,7133.063145,3881.885707,3337.595045,22511.61735,5075.160615,3205.464013,10130.57857,3876.42506,5464.48102,3280.123893
P07355,89037.23725,67462.00243,60635.66915,156840.3425,56656.4169,18232.5352,67082.9294,26901.93668,43819.5557,17854.64923
P07357,62857.74135,51499.5551,32504.02605,53503.87205,27063.42178,4368.36775,15720.86914,3649.999265,8271.98125,6741.295812
P07358,44406.30012,31083.96356,18003.5759,39322.13581,16655.29379,3147.11882,14468.16768,2035.02841,4086.989005,4924.544033
P07360,75622.2041,94310.1032,52439.93538,75893.4486,38337.75153,6960.685755,17511.53085,2965.423793,14168.81002,6524.87439
P07384,13661.85016,11217.06149,5709.452223,23371.40657,16014.68991,4914.370772,12819.72961,6599.006705,13504.94204,3297.54485
P07437,39103.4096,29286.76053,21772.84988,51151.11735,26269.10192,10264.66787,49153.08824,17733.78033,28257.7233,14503.92027
P07451,43232.8877,3712.70121,686.6718493,60311.3543,31440.39157,169.0133227,4035.412621,1120.873422,6704.775865,1403.550324
P07585,262869.1414,142991.1158,152001.5484,720172.1825,192643.0362,102610.604,368359.72,243634.9276,317072.6803,39264.9451
P07602,5348.7077,4441.803463,6457.89933,3208.775013,1785.824121,344.305349,1489.474573,1353.32628,2830.43144,895.2280872
P07737,172118.1121,126947.7276,80662.94435,241239.9135,181558.567,60403.5323,120382.427,74261.6662,149412.8016,40829.76033
P07741,5901.86021,2267.977866,4446.437923,11758.17397,5899.156075,1818.90984,4407.265692,3056.922243,4967.619689,1372.133549
P07900,26120.69307,11032.42628,9274.551968,34405.56766,13515.01837,5889.514648,20538.21921,7899.26311,11308.94081,5212.668928
P07910,6975.030625,5182.286907,4455.035833,12472.08857,5893.41095,1584.044367,7932.75404,3173.364268,7920.707905,2224.579312
P07942,7455.76929,1806.610166,2967.686135,15435.88468,4761.033552,1203.183393,3843.550037,468.479028,2769.439788,1055.269391
P07951,54996.4133,55655.4213,8482.278525,51583.4049,73220.9196,20836.65722,70153.604,37130.15633,71573.2781,29427.95132
P08123,258837.4101,84166.8578,77437.15878,424846.6694,122021.4457,41440.9153,207257.2962,51335.42615,83748.7913,35510.87672
P08133,238326.7103,140435.1817,129193.5498,297053.2277,183814.9981,71423.22743,215338.3122,90564.90343,212517.2456,64999.65375
P08185,7367.62957,3899.33297,5550.202593,8000.4428,1811.034808,580.9696462,2301.951564,650.6309415,1641.607619,496.942514
P08237,3454.825598,2456.129514,356.7505485,4119.115438,6005.146815,2226.086888,5108.021405,3294.485633,5923.95171,1616.369447
P08238,10833.96427,2918.855222,1246.357155,16934.4736,3911.45646,1811.756265,7842.31986,1299.243194,2404.034545,1339.665611
P08294,210599.7724,166003.5167,154315.2441,317836.0537,162579.7553,48933.14968,180330.0209,100893.0908,169566.5808,91328.44652
P08311,4049.546269,1313.572086,2902.616058,16611.90308,1421.529011,292.9456282,3482.147756,733.4552153,1045.462342,328.6667087
P08493,16787.68313,11810.17851,11666.06824,14104.5634,15123.47198,2493.272287,7910.8306,2613.700035,8078.109275,2187.658695
P08572,153076.8375,88194.1179,82546.74458,119800.9674,108720.8064,29881.94123,88728.6073,37367.41035,83298.33705,27338.14525
P08603,643624.3535,400034.7227,368354.5905,607097.8155,220648.4773,42297.1356,199676.5248,30605.5743,51074.2979,79993.36862
P08670,2572622.43,1843654.124,1568961.864,3744976.71,2786611.052,1051563.195,3455728.157,1628100.072,3716983.535,1535406.292
P08758,256156.4667,156106.6914,169980.2824,393431.9382,220853.4018,69712.99548,201182.8322,121337.5417,200684.3573,63505.82153
P08865,3818.139204,3066.671316,3137.118328,8680.209915,5761.725485,1300.883061,3941.875721,1480.818891,3917.958259,825.9954363
P09104,11943.48023,3587.75992,3729.945338,6091.0072,10107.84351,2871.209252,7892.25142,3749.27083,8078.918915,3123.122695
P09211,131420.3858,79729.04743,68744.06408,111443.328,92393.7989,30239.49727,94169.52125,45687.34978,83824.23505,31554.96147
P09382,216393.0086,91922.79593,74444.6255,233918.6635,77355.14665,42258.6069,181638.9244,48130.66003,109831.3432,72563.30137
P09417,2613.61675,1631.966657,1707.119416,3803.532352,1621.7443,789.663835,2362.338555,946.198781,2434.635256,752.723486
P09493,268212.9747,204466.6384,150690.9422,250857.2051,236487.8279,81856.7712,454475.6296,226232.4328,159073.2787,128737.9122
P09497,5380.946075,2339.848899,2300.307288,7623.384665,2793.369489,1254.440043,6239.95817,1483.634228,3079.384692,1934.458387
P09525,76931.08215,38459.52437,37093.2918,93221.2046,54193.25175,19328.63952,54961.87,28804.60945,50417.3855,16844.47
P09871,16839.0711,10291.05248,6051.119818,13940.52624,4567.418368,1054.267565,4445.594548,706.0385515,1395.510187,1306.973268
P09936,15412.45847,11506.96486,4322.25459,11866.07237,17766.54542,3353.480428,9754.861025,4779.885248,9420.30835,2872.957767
P09960,3692.557833,2773.305474,2251.716539,7169.165655,4082.869229,1107.870293,3388.471513,1804.72766,2199.799181,1205.282128
P09972,25758.72059,19375.50079,12143.81713,35560.52805,19658.50052,6761.931722,18925.49963,7306.45679,12960.45916,6398.132505
P0C0L5,19081.37913,21189.88129,20523.69474,19795.25293,16078.2934,3071.190313,3649.894561,1320.362088,2973.170968,307.2820423
P0CG38,35084.44466,25045.41173,17487.43974,33585.26222,37090.24548,10714.03014,25983.08122,11426.11072,21398.343,6695.257245
P10253,806.9201115,442.409539,646.8568273,2534.009177,588.4001615,156.2829048,442.9463172,154.8280629,298.3780932,179.5055307
P10301,28417.54843,17389.25576,9335.218493,17882.68256,13503.98049,7308.216962,21082.72864,10309.02524,25408.71062,7419.90996
P10599,49791.72088,23770.32255,11610.99768,87365.52075,46881.11198,13236.19895,37768.32188,20993.98304,29389.45278,14739.66419
P10643,47224.06316,65773.03537,50246.47438,56556.0879,23692.3462,4711.003113,9619.279435,3841.214013,11108.99654,4895.737448
P10644,9836.63786,2485.538046,3419.489625,12146.8858,6177.907655,2890.326352,11415.56136,3664.791388,8449.62362,4520.944773
P10768,27730.41968,17789.64348,12216.77385,29252.57543,27591.9279,8391.854673,21731.04925,8878.984895,24139.52635,7255.66873
P10809,179800.5172,90493.73913,63848.38008,42792.16183,108437.6216,24879.83795,21667.55489,7824.181013,80703.44095,22614.64495
P10909,607340.7055,1002767.975,784480.932,1507562.51,506656.555,91512.99257,188436.1187,61872.05668,255708.5943,109722.9682
P11021,76880.14555,33204.61548,38072.324,165342.5165,69153.1913,14503.96452,69318.4697,28287.17528,39625.62061,19810.0482
P11047,126283.523,53507.3394,43413.80235,171321.318,123817.3622,31859.05183,97339.12995,40139.0477,89586.66355,27618.17973
P11142,81057.59435,58171.33467,61572.3394,153621.8162,63930.5574,21610.66663,86318.8872,38667.57008,62594.37075,30303.1329
P11177,1591.479685,2129.555415,480.9338803,1331.943442,4028.123179,1369.007669,4297.328018,2400.210096,4438.483161,1016.731874
P11216,49794.68681,33903.81007,18349.47969,50051.3146,49488.58375,16846.36142,50457.8114,17993.69625,47462.9356,17031.19902
P11279,3837.340381,3097.748129,4002.693668,8624.04723,3898.613621,907.6941347,591.0735035,2049.066422,2965.295379,487.1714245
P11413,10312.15391,12237.4566,6321.76574,18998.87706,17100.02063,4688.168118,12207.91709,7455.016088,13053.38375,3009.349088
P11532,3783.863362,3081.987135,2202.791078,3057.58803,6112.85657,2058.732508,5615.18667,3115.684665,7214.481035,1944.155068
P11766,57712.68995,42508.59353,28318.08808,66835.1516,48086.23078,21078.50448,63290.45355,21900.84638,56064.2563,15122.689
P12109,445112.038,148281.5038,215182.5967,464413.0064,211546.3018,38219.72078,240560.9474,77060.56745,122180.561,37704.97232
P12110,412331.4122,166158.2037,187301.0984,572682.317,229955.1249,43823.80412,245039.4596,85818.08293,117085.3494,36972.3473
P12111,1566785.089,481148.7593,606665.254,1806682.055,687605.3245,120612.0898,794260.1005,295842.4123,332083.4054,124013.5851
P12236,1290.979332,612.668749,1052.020309,3892.299069,1657.753106,465.2522947,1488.573483,813.6865173,1608.044361,258.7797387
P12268,1594.664837,1299.929046,503.3857245,2338.588396,1613.705651,390.641616,1407.289555,586.7270468,1311.708769,274.8955993
P12277,20330.42278,22997.87644,629.4884193,19018.97789,24557.32656,12063.69985,30585.19145,15972.0871,36676.06537,7381.595668
P12814,419528.3073,300656.8191,280560.1915,377015.0611,359539.3244,169329.896,469124.3869,272639.0858,518905.622,145273.0569
P12956,9016.493565,5765.82592,2343.976726,19977.23726,9352.699055,2715.842937,7401.57518,3934.375368,6569.41878,1897.691312
P13010,2778.322614,1814.96057,1903.563901,5634.23969,1041.029938,759.7243462,3739.81781,1209.332237,1304.543455,622.4489865
P13073,7655.453795,5146.807807,5932.035613,23646.59655,9027.081745,2495.235532,10427.47392,3228.433498,7122.07167,2100.967295
P13489,63131.4452,42129.11553,35050.76493,108021.0415,67100.77985,18570.58148,33721.68279,24750.60159,53337.24165,9708.763742
P13611,1025180.367,445192.1077,335859.2985,478414.1941,331351.5774,120857.4955,585244.2845,153117.591,526265.9855,323616.403
P13639,60011.802,25232.78995,25743.42168,78782.5845,39054.30866,8637.616158,32042.31038,16732.38276,29836.11643,8243.85622
P13645,9001.019145,10380.17742,1357.382127,11553.65995,4833.639246,945.3737177,3539.826832,2909.097718,4343.424067,830.7599202
P13667,14901.99602,8700.293747,3658.22286,41516.71609,18428.99887,3757.418122,13035.89841,7704.915915,10989.05941,1833.109762
P13671,80644.9431,80073.0463,46102.4277,88456.5892,36489.40509,8451.316462,10046.60066,4454.207225,14047.87925,7180.929877
P13716,1742.213438,1696.849792,395.692182,7092.29193,1980.271669,829.4833552,2774.434138,1100.891491,2217.699585,559.0981228
P13797,80278.71515,63264.31677,60224.07815,103983.4062,116205.2999,25025.8543,81560.2938,38626.96425,66481.3787,23340.30158
P13861,8811.586445,4677.39548,3365.130325,9915.84883,10227.85778,2889.847812,8019.333035,3160.119038,8176.84855,2764.451785
P13987,19117.29268,8308.854497,7735.81877,13092.58216,2409.504769,1745.288147,8620.601865,1655.978869,5475.74238,2381.86397
P14174,65022.87075,41104.85327,32741.72375,57258.4206,64498.2842,18159.64973,54561.4886,37673.88763,49650.80363,14323.21476
P14314,13531.60712,10513.32522,9469.730823,36132.20533,17174.52628,4279.972635,19356.86182,6723.99529,13863.79656,4839.033713
P14543,86039.06825,40708.69247,25157.4144,98214.58665,59144.91485,14685.56469,79953.6589,31129.00268,48732.96631,20165.67192
P14550,13889.32415,7831.707817,8736.607243,19499.48353,12036.98358,2513.677767,8567.326055,4481.49047,7592.472495,2249.476515
P14618,323299.9778,189983.1614,215195.1484,604265.7515,363516.126,95122.17342,247969.3969,88567.48375,233056.7078,73589.4252
P14625,83331.04465,34803.78307,36720.92485,180668.2055,92544.43875,17178.02713,64842.74435,26528.16975,45832.98312,16737.93642
P14868,6366.357185,1390.137693,1508.572522,6545.836415,5299.129955,1845.524083,5442.30737,2245.695278,6370.799375,1595.18084
P15088,17466.04305,8691.974817,5035.415748,14509.21232,11908.64567,1772.650877,6429.883875,4226.601928,6474.948515,658.4495397
P15121,4325.287549,2245.534749,4471.16999,16267.19772,1595.814342,1264.587566,6862.12858,1024.972141,1915.538265,1349.32686
P15502,5722.27956,2284.507799,1547.681511,1871.507243,3068.601615,625.9488202,3705.627467,1185.916214,1486.789734,1461.600493
P15880,3534.00305,2822.274726,2760.54656,9250.81036,4637.038407,1116.863183,3560.468305,1812.386692,4503.548774,867.995885
P16070,6381.62528,4264.106683,6921.475263,20273.96385,5718.388255,1194.631006,6580.83974,1881.92126,3155.214837,1689.915408
P16112,257946.3414,116111.9877,35486.98863,35595.70451,242573.135,93559.43027,137196.1237,67789.485,338397.8612,23279.59398
P16152,33766.66879,24162.57121,18130.08652,40746.18414,35455.05668,9294.309398,23529.56068,12301.14683,25038.99956,6382.282388
P17174,1014.670656,565.3632823,529.8698008,2166.056242,393.4640521,204.9284392,661.13096,400.1742358,661.4317,178.0835082
P17302,1090.6823,810.8255937,1031.676104,1631.505684,1316.501821,494.7500535,1254.777681,483.0004433,1391.826325,776.2222888
P17655,29008.54235,21194.55787,11440.81761,31602.69787,29874.23473,10269.14652,29297.28244,13868.39618,27634.88934,7835.390903
P17661,36858.00669,14926.44862,2209.27089,86004.40715,39720.38108,48402.95078,84695.06655,26152.46923,140052.2594,28811.54475
P17858,2314.573571,1042.487479,560.5639245,2976.323232,3095.843452,816.0743907,3408.341949,703.0897953,2398.617318,850.6091803
P17931,21738.59506,12219.55966,10329.73112,35215.82269,14686.52594,5314.615112,22569.06333,7638.10967,14858.80729,5784.843988
P17980,1427.721629,2971.920984,1813.223077,5055.180145,4290.277233,981.2507962,4530.747591,1787.744759,3222.856577,1162.084063
P17987,10397.26322,4812.207067,2980.66145,15921.53517,8808.269445,2627.963175,9895.784135,3367.750135,8602.71918,2854.80454
P18084,1796.999334,971.084104,1209.345345,2965.973695,1270.893684,397.6675797,1399.932198,454.835472,1254.61811,568.330639
P18085,2586.227025,478.032534,713.1559258,3027.771793,2283.957989,400.1793065,1761.459888,948.4437028,1410.55845,477.1723863
P18124,11839.86609,3161.124864,5911.16842,10401.11645,5189.927375,1528.54588,6838.9975,2073.101201,6649.24192,1773.87851
P18206,780168.707,616050.2803,447336.6538,643065.146,940933.602,294486.7757,775680.917,498871.5185,964207.61,244483.925
P18428,28942.26025,24805.51186,19377.09741,16613.21921,16351.02843,2925.01444,10707.74091,1657.693981,6157.532845,4367.510442
P18669,35631.27199,16089.02993,17292.73157,51001.5576,22378.251,8993.012615,27731.15016,9332.416568,17561.23833,10107.20167
P19367,11958.37436,4076.11242,3330.7596,21172.75826,12448.05395,3819.88613,8831.70784,4490.597775,10160.94492,2864.229573
P19652,55858.6609,6072.72688,8216.914775,51170.85925,4322.32326,2231.240407,37740.22087,2291.019109,2474.024241,5974.38399
P19827,256585.8819,82318.2573,61892.4076,154333.7207,62425.9684,11848.30731,31597.80341,9974.413938,21832.08921,7891.882043
P20073,19814.67324,10252.96529,8219.895803,26876.60905,18418.54908,5498.264427,20133.84328,6888.932268,17415.42953,5606.146318
P20645,826.3018235,243.1914691,441.6418453,3028.070913,1137.4123,281.2692275,915.438181,415.8848215,806.3278145,217.1241658
P20674,2085.603727,1132.399343,1240.572916,6415.33654,1769.86444,549.2669178,2277.436331,837.1450803,1694.002366,472.5945135
P20700,7705.616705,4473.487333,2657.75864,6424.74086,12753.31452,3989.338728,9421.36468,2581.312058,8573.57214,3099.6546
P20774,333255.8332,252940.3524,317834.0185,592574.9635,112640.1567,67854.53853,515572.346,204962.7169,155276.4352,81919.35865
P20810,5284.985325,1547.662199,1052.543296,5317.436195,6030.615355,1484.961837,6330.810375,1543.268711,3786.649375,1713.407125
P20962,6422.065095,3782.746577,3472.30088,7571.936105,5638.09224,1594.64589,7544.541995,2177.129448,4764.988883,2239.472753
P21266,14132.46598,9851.81313,5517.202095,15170.50582,15634.06417,4351.42249,8450.04496,5249.19186,14313.91959,1865.187942
P21291,137872.5745,54442.6566,34325.01548,110245.0551,117312.254,39547.24262,142858.1299,47029.27548,94952.7365,62504.97285
P21333,4693907.592,2702527.143,1762467.161,3409962.819,4659430.818,1668758.395,4644795.91,2359004.855,4710632.599,1476352.204
P21399,7133.256575,5297.043133,4456.087038,16734.5421,6830.001785,2062.070025,5743.84752,2437.006704,5300.56573,1983.048092
P21589,8851.046215,4954.70804,4177.9101,8859.035545,6417.981435,672.7587202,7611.38061,869.0515878,6309.487545,1571.830854
P21810,2121285.162,1569354.364,1297008.474,1038452.13,1492827.35,223319.1382,877866.427,317112.128,706594.89,311805.5855
P21926,4270.5081,2497.067629,2533.224905,4883.270158,4410.789113,1260.145724,2607.611648,1292.419482,3924.508982,715.6044483
P21980,201438.2706,106795.239,93485.5467,193737.3367,136493.7283,40853.53688,165947.8749,48786.154,102599.7861,27123.89702
P22061,6574.82342,5746.57997,4618.155568,13036.46733,7537.24005,2235.350952,8749.866535,3894.233613,7945.475525,2967.739578
P22105,173710.0431,123590.4784,161343.1473,265212.5503,136481.9666,31180.1371,187084.4831,42784.03355,76063.83585,32745.7281
P22314,34398.60544,22019.97532,14948.91174,62061.084,36517.36167,7268.20357,27289.47652,11862.15923,26702.80972,7515.10515
