,FP_1,FP_2,FP_3,FP_4,FS_1,FS_2,FS_3,N_1,N_2,N_3
Q9NR46,464.471183,630.5566907,373.763325,1001.954759,368.1357481,179.97682,690.676507,276.3767548,372.9753766,192.2777488
Q9NTK5,2960.540365,3030.73355,1428.942477,7416.023035,5835.77877,1645.322156,4839.645099,3149.039448,5772.47543,1268.28103
Q9NVA2,6373.056315,4016.378027,1344.228997,8044.65267,3070.999186,1284.281369,6895.38532,1004.907064,2136.356528,1753.185958
Q9NVD7,31510.75616,19763.79234,15270.96732,18327.53315,30092.54942,10852.09536,34198.1924,15476.75409,33307.92626,11686.27256
Q9NWV4,624.895791,623.8880587,616.6909203,1493.803011,861.3432855,236.8017245,702.283852,415.008896,740.8353005,279.3565452
Q9NZ45,2190.494508,985.48709,1406.140232,4343.706357,1704.921926,617.5314065,1822.882669,805.8553945,1803.587137,186.661705
Q9NZL9,1233.76911,776.560607,1086.396264,1484.386727,1118.453393,357.47627,792.090981,559.6216943,1023.050036,313.242962
Q9NZM1,17503.31061,6988.438407,6257.019913,22248.99039,20665.66137,5265.190413,6730.541515,6111.698178,15927.71607,3093.808247
Q9NZN4,140657.9702,116103.8936,76291.29363,144485.5088,145314.5284,44478.79178,144318.4537,67202.24748,126492.9979,40686.96755
Q9NZU5,91870.9905,63671.71933,48015.6198,69351.70415,128434.2701,38248.80135,96783.6124,46226.8271,109994.3753,40039.85285
Q9UBI6,9424.502455,6874.581523,6082.499055,16669.93227,10977.57377,3472.20768,7614.864205,3534.466038,8224.83812,2936.499967
Q9UBQ7,5370.50729,4217.57465,1984.951183,5098.45676,5651.43721,1443.144715,3524.85201,2578.237618,5054.876795,990.1929663
Q9UBR2,4485.325297,1685.78337,5717.34933,11194.46524,1585.970729,505.5798047,7838.69692,951.570351,1321.836629,511.518244
Q9UBX5,134198.6891,77728.45787,125743.9256,189788.9587,55083.06735,55531.12588,119844.0951,87283.373,172247.9612,57176.16815
Q9UGI8,70315.76735,50368.181,32001.01688,32735.76271,75300.021,24700.81453,70324.99695,28766.1306,72110.58465,23168.5723
Q9UH99,2603.932341,1148.771891,1296.699912,3018.977679,1549.002895,367.9305505,2279.884138,812.0564835,1627.792216,604.7162248
Q9UHG3,8223.880845,6629.870163,9828.813895,13491.96657,13743.33048,4475.425963,8554.92445,6510.544023,12035.8503,3230.010595
Q9UIJ7,5960.56629,1856.04258,872.4107848,10485.82711,5931.229245,1270.060112,3754.397824,1757.288459,4231.583345,750.4912415
Q9UJ70,3386.448002,2629.127225,2958.04225,9983.294305,4348.370835,1543.380651,3494.920945,1934.325973,2558.65738,989.0366873
Q9UJU6,1400.331905,869.6471537,662.9962148,1929.835554,1541.805658,461.5847073,2125.964891,569.080917,1485.461189,559.7914178
Q9UL25,5062.54053,3191.306831,3178.340185,5923.16524,4451.606632,1016.250549,3625.360749,1186.312604,3336.12889,987.1162483
Q9ULV4,11232.49508,5487.614017,5551.98075,10293.5411,10852.26675,4093.341642,14929.72105,6422.352045,11394.87305,4886.465957
